ASIN,Title,Authors,PurchaseDate
"B06XWVH285","100万円の女たち（１）【期間限定　無料お試し版】 (ビッグコミックス)","青野春秋","2017/4/22"
"B01MXW9Y97","1518！ イチゴーイチハチ！（１）【期間限定　無料お試し版】 (ビッグコミックス)","相田裕","2017/1/7"
"B07MYV5DTR","33歳独身女騎士隊長。 (KATTS)","天原","2019/2/18"
"B07GZKSBGX","34歳無職さん 1【期間限定 無料お試し版】 (MFコミックス　フラッパーシリーズ)","いけだたかし","2018/10/7"
"B07GWBMYFB","A子さんの恋人 1巻 (HARTA COMIX)","近藤 聡乃","2019/5/25"
"B07GVTV6HJ","A子さんの恋人 2巻 (HARTA COMIX)","近藤 聡乃","2019/6/22"
"B01BWMJEZQ","BANANA FISH（１）【期間限定　無料お試し版】 (フラワーコミックス)","吉田秋生","2016/3/10"
"B01BWMJHB2","BANANA FISH（２）【期間限定　無料お試し版】 (フラワーコミックス)","吉田秋生","2016/3/10"
"B01K4KOLOG","BLEACH モノクロ版【期間限定無料】 49 (ジャンプコミックスDIGITAL)","久保帯人","2016/8/28"
"B01K4KOLKU","BLEACH モノクロ版【期間限定無料】 50 (ジャンプコミックスDIGITAL)","久保帯人","2016/8/28"
"B01K4KOLIW","BLEACH モノクロ版【期間限定無料】 55 (ジャンプコミックスDIGITAL)","久保帯人","2016/8/28"
"B01K4KOLJQ","BLEACH モノクロ版【期間限定無料】 56 (ジャンプコミックスDIGITAL)","久保帯人","2016/8/28"
"B01E7BAT6W","CLAYMORE【期間限定無料】 1 (ジャンプコミックスDIGITAL)","八木教広","2016/5/7"
"B009DBY8YG","Cheers！ ： 1 Cheers! (アクションコミックス)","チャーリーにしなか","2016/10/8"
"B009DBY9AO","Cheers！ ： 2 Cheers! (アクションコミックス)","チャーリーにしなか","2016/10/8"
"B009DBY93Q","Cheers！ ： 3 Cheers! (アクションコミックス)","チャーリーにしなか","2016/10/8"
"B00PGOCKEO","DaccHo! (だっちょ) 1 ほのぼの育児マンガ DaccHo!（だっちょ）ほのぼの育児マンガ (impress QuickBooks)","poko","2017/1/15"
"B01B7685W0","D－LIVE！！（１）【期間限定　無料お試し版】 (少年サンデーコミックス)","皆川亮二","2016/2/23"
"B01M0CRH22","GANTZ【期間限定無料】 6 (ヤングジャンプコミックスDIGITAL)","奥浩哉","2016/10/22"
"B01M0OFLS6","GANTZ【期間限定無料】 7 (ヤングジャンプコミックスDIGITAL)","奥浩哉","2016/10/22"
